순번,테이블명,테이블한글명,컬럼명,컬럼한글명,타입,크기,PK(Y),FK (Y),NOT NULL (Y),Default,비고,AS_IS,AS_IS 코드 테이블 및 컬럼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,REF_ADDR,주소정보,ADDR_CD,주소코드,VARCHAR,10,Y,,Y,,,"ADDRESS_PROVINCE.ID
ADDRESS_SUBDEV.ID
ADDRESS_SUBDEV_UNIT.ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,REF_ADDR,주소정보,AIMG_NM,아이막명,VARCHAR,100,,,,,"울란바토르(수도) - Ulaanbaatar, Улаанбаатар",ADDRESS_PROVINCE.NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,REF_ADDR,주소정보,SOUM_NM,솜명,VARCHAR,100,,,,,"울란바토르의 구(도시) - District, Дүүрэг",ADDRESS_SUBDEV.NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,REF_ADDR,주소정보,BAG_NM,바그명,VARCHAR,100,,,,,"울란바토르의 동 - Khoroo, Хороо",ADDRESS_SUBDEV_UNIT.NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,REF_ADDR,주소정보,ABBR,약어,VARCHAR,100,,,,,,ADDRESS_PROVINCE.ABBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,REF_ADDR,주소정보,WHOL_ADDR_NM,전체주소명,VARCHAR,200,,,,,,"ADDRESS_PROVINCE.NAME
ADDRESS_SUBDEV.NAME
ADDRESS_SUBDEV_UNIT.NAME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,REF_ADDR,주소정보,UP_ADDR_CD,상위주소코드,VARCHAR,10,,,,,,"ADDRESS_PROVINCE.ID
ADDRESS_SUBDEV.ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,REF_ADDR,주소정보,ADDR_SE_CD,주소구분코드,VARCHAR,1,,SYS_CD_GRP.GRP_ID,,,GRP_ID='017',"1: ADDRESS_PROVINCE
2: ADDRESS_SUBDEV
3: ADDRESS_SUBDEV_UNIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,REF_ADDR,주소정보,BFR_ADDR_CD,이전주소코드,VARCHAR,10,,REF_BFR_ADDR.ADDR_CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,REF_ADDR,주소정보,RGTR_ID,등록자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,ADDRESS_SUBDEV.CREATED_BY,SYSTEM_USER.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,REF_ADDR,주소정보,REG_DT,등록일시,DATETIME,,,,,default NOW(),,ADDRESS_SUBDEV.CREATE_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,REF_ADDR,주소정보,MDFR_ID,수정자ID,VARCHAR,20,,SYS_USER.USER_ID,,,,ADDRESS_SUBDEV.UPDATED_BY,SYSTEM_USER.ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,REF_ADDR,주소정보,MDFCN_DT,수정일시,DATETIME,,,,,,,ADDRESS_SUBDEV.UPDATE_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,REF_BFR_ADDR,이전주소정보,ADDR_CD,주소코드,VARCHAR,10,Y,,Y,,,"ADDRESS_PROVINCE_OLD.ID
ADDRESS_SUBDEV_OLD.ID
ADDRESS_SUBDEV_UNIT_OLD.ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,REF_BFR_ADDR,이전주소정보,AIMG_NM,아이막명,VARCHAR,100,,,,,"울란바토르(수도) - Ulaanbaatar, Улаанбаатар",ADDRESS_PROVINCE_OLD.NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,REF_BFR_ADDR,이전주소정보,SOUM_NM,솜명,VARCHAR,100,,,,,"울란바토르의 구(도시) - District, Дүүрэг",ADDRESS_SUBDEV_OLD.NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,REF_BFR_ADDR,이전주소정보,BAG_NM,바그명,VARCHAR,100,,,,,"울란바토르의 동 - Khoroo, Хороо",ADDRESS_SUBDEV_UNIT_OLD.NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,REF_BFR_ADDR,이전주소정보,ABBR,약어,VARCHAR,100,,,,,,ADDRESS_PROVINCE_OLD.ABBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
